"Data da Arrecadacao";"Conta";"Descricao da Conta";"Vinculo";"Descricao do Vinculo";"Valor Arrecadado";"Entidade"
"05/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"39482,10";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"05/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"83060,27";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"06/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"215456,33";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"06/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"168430,32";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"06/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"354357,03";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"07/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"158214,95";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"07/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"123669,74";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"07/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"260201,40";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"10/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"142368,22";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"10/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"111255,16";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"10/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"234114,00";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"11/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"294922,35";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"11/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"230569,85";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"11/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"485069,83";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"12/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"174829,78";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"12/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"136649,38";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"12/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"287519,30";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"13/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"191161,61";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"13/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"149386,04";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"13/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"314351,78";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"14/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"196517,01";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"14/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"153570,04";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"14/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"323157,39";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"17/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"164245,69";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"17/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"128415,48";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"17/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"270148,86";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"18/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"615165,91";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
